WARN   | wrapper  | 2016/05/14 11:07:12 | Unable to write to the configured log directory: ..\logs (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:07:12 |   The directory does not exist.
WARN   | wrapper  | 2016/05/14 11:07:12 | Unable to write to the configured log file: ..\logs\wrapper.log (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:07:12 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2016/05/14 11:07:12 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/05/14 11:07:12 | Java Service Wrapper Community Edition 32-bit 3.5.29
STATUS | wrapper  | 2016/05/14 11:07:12 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/05/14 11:07:12 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/05/14 11:07:12 | 
STATUS | wrapper  | 2016/05/14 11:07:12 | Launching a JVM...
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperSimpleApp Error: Not enough argments.  Minimum 1 required.
INFO   | jvm 1    | 2016/05/14 11:07:13 | 
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4242)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:07:13 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/05/14 11:07:14 | <-- Wrapper Stopped
WARN   | wrapper  | 2016/05/14 11:08:59 | Unable to write to the configured log directory: ..\logs (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:08:59 |   The directory does not exist.
WARN   | wrapper  | 2016/05/14 11:08:59 | Unable to write to the configured log file: ..\logs\wrapper.log (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:08:59 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2016/05/14 11:08:59 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/05/14 11:08:59 | Java Service Wrapper Community Edition 32-bit 3.5.29
STATUS | wrapper  | 2016/05/14 11:08:59 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/05/14 11:08:59 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/05/14 11:08:59 | 
STATUS | wrapper  | 2016/05/14 11:08:59 | Launching a JVM...
INFO   | jvm 1    | 2016/05/14 11:08:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperSimpleApp Error: Unable to locate the class web.core : java.lang.ClassNotFoundException: web.core
INFO   | jvm 1    | 2016/05/14 11:09:00 | 
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4242)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/05/14 11:09:00 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/05/14 11:09:01 | <-- Wrapper Stopped
WARN   | wrapper  | 2016/05/14 11:17:13 | Unable to write to the configured log directory: ..\logs (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:17:13 |   The directory does not exist.
WARN   | wrapper  | 2016/05/14 11:17:13 | Unable to write to the configured log file: ..\logs\wrapper.log (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:17:13 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2016/05/14 11:17:13 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/05/14 11:17:13 | Java Service Wrapper Community Edition 32-bit 3.5.29
STATUS | wrapper  | 2016/05/14 11:17:13 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/05/14 11:17:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/05/14 11:17:13 | 
STATUS | wrapper  | 2016/05/14 11:17:13 | Launching a JVM...
INFO   | jvm 1    | 2016/05/14 11:17:13 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/05/14 11:17:17 | [2016-05-14 11:17:17,906][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 11:17:17 | -=[web started successfully]=-
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,468][INFO][luminus.http-server] starting HTTP server on port 3000
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,500][INFO][org.xnio] XNIO version 3.4.0.Beta1
